"","3088","8806","19893","24559","45388","49842","82151","102816","105014","119875","123127","125973","134727","138783","141540","241240","256439","266046","279836","287459","374551","608210","618487","628503","673596","683864","698037","715055","718781","727989","728073","733504","743414","750691","756645","757441","758186","758253","758487","759614","759857","760087"
"786-0",4.948,NA,6.137,NA,4.036,8,7.854,5.757,5.61,5.069,6.9,7.588,4.679,4.092,4.515,4,7.945,6.124,8,6.402,5.589,7.689,8,8,8,8,7.984,5.065,5.023,5.353,8,8,4.796,5.638,5.659,4.724,6.163,7.482,6.369,6.155,7.036,7.112
"A498",4.384,4.307,6.403,8,4.169,8,6.93,5.94,5.393,4.284,7.005,8,NA,4.487,4.407,4,7.885,5.314,6.949,4.922,5.325,8,8,7.07,7.421,NA,6.569,6.413,5.644,5.703,6.692,8,4.658,6.809,5.888,6.436,5.852,7.762,6.524,NA,6.166,7.762
"A549/ATCC",4.617,4.777,6.723,7.06,4.022,8,7.617,5.986,5.686,4.664,7.205,7.977,5.116,4,4.358,4,8,6.211,8,6.375,5.224,7.722,8,8,7.273,6.022,5.855,5.119,5.037,5.246,7.081,8,4.611,5.831,5.932,5.054,5.986,7.623,6.424,4.555,6.421,7.681
"ACHN",5.104,NA,6.529,NA,4.671,8,7.79,6.245,6.25,5.14,7.116,6.02,5.181,4.112,4.29,4,8,5.667,8,6.71,5.378,6.713,8,6.229,8,8,7.594,6.663,6.697,6.362,7.848,8,4.598,8,5.552,4.954,6.178,7.39,6.719,5.311,6.482,5.897
"BT-549",NA,NA,4.974,NA,NA,6.468,6.715,5.674,6.462,4.605,6.63,7.899,NA,4.111,5.619,NA,7.22,4.909,6.982,5.15,5.186,7.972,NA,NA,7.852,8,4,5.087,4.459,4.706,7.631,8,4.793,5.641,5.356,5.402,6.107,7.54,5.941,5.319,7.041,7.367
"CAKI-1",5.079,5.413,7.135,6.814,4.724,8,7.735,6.333,6.272,5.351,6.021,6.502,5.558,4.274,4.31,4,8,6.116,7.874,6.969,5.296,6.934,8,7.38,8,6.665,4,6.752,6.664,7.072,8,6.841,4.469,7.391,5.401,4.835,6.561,6.599,6.562,6.327,6.487,5.164
"CCRF-CEM",6.084,5.707,5.009,8,4.952,8,8,5.991,7.192,5.257,7.086,8,4,4.551,4.495,4,8,6.456,8,7.97,7.244,8,8,8,8,8,NA,5.341,4.296,5.692,8,6.775,4.77,5.747,6.296,6.069,5.709,7.549,6.209,6.012,7.6,NA
"COLO 205",4.532,4.736,6.803,7.178,4.086,8,6.771,6.071,5.124,4.162,6.741,8,4.424,4.019,4.21,4,7.645,5.112,6.871,6.483,5.583,8,8,8,7.148,5.4,4,5.192,4.251,4.104,7.206,4.91,4.754,6.001,6.137,5.13,5.916,7.499,6.449,5.348,6.281,8
"DU-145",NA,NA,6.44,NA,4,8,7.649,6.181,5.742,5.165,6.973,8,NA,4.094,5.676,NA,7.983,5.21,7.648,6.271,5.119,8,NA,8,8,7.421,4,5.59,5.731,5.583,7.911,7.02,4.726,6.053,5.481,4.861,6.111,7.465,6.373,6.084,6.479,8
